year,sex,obesity_rate_pct,bmi_criterion,age_reference,unit,source_org,source_table_id,source_table_name
1998,전체,25.8,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2001,전체,30.3,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2005,전체,31.4,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2007,전체,32.1,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2008,전체,31.0,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2009,전체,31.9,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2010,전체,31.4,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2011,전체,31.9,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2012,전체,32.8,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2013,전체,32.5,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2014,전체,31.5,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2015,전체,34.1,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2016,전체,35.5,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
2017,전체,34.8,BMI >= 25,19세 이상,%,질병관리청(ORG_ID=177),DT_11702_N101,비만 유병률(체질량지수 기준) 추이
