year,one_person_households,total_households,one_person_household_ratio_pct,unit,source_org,source_table_id,source_table_name
2000,2224433,14311807,15.5,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2005,3170675,15887128,20.0,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2010,4142165,17339422,23.9,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2015,5203440,19111030,27.2,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2016,5397615,19367696,27.9,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2017,5618677,19673875,28.6,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2018,5848594,19979188,29.3,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2019,6147516,20343188,30.2,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2020,6643354,20926710,31.7,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2021,7165788,21448463,33.4,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2022,7502350,21773507,34.5,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2023,7829035,22073158,35.5,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2024,8044948,22294419,36.1,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
2025,8244308,22495096,36.6,%,"국가데이터처(통계청,ORG_ID=101)",DT_1YL21161,1인가구비율(시도/시/군/구)
